# App. Visc. (cP)	Veloc. Inj. (ft/day)    Desv. P. (cP)
156.17	0.680165997501762   10.36
124.64	1.36033199500352    3.91
100.26	2.72066399000705    0.55
70.68	6.80165997501762    0.17
40.32	17.0041499375441    0.0
